Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,135.699997,137.559998,135.259995,137.250000,133.991028,5357200
2022-02-03,137.000000,138.759995,135.830002,137.779999,134.508453,6100800
2022-02-04,137.860001,138.820007,136.220001,137.149994,133.893402,4142000
2022-02-07,137.449997,137.820007,136.270004,137.240005,133.981277,3759000
2022-02-08,137.229996,137.520004,135.779999,137.020004,133.766510,4181800
2022-02-09,137.839996,138.350006,136.830002,137.789993,134.518204,5393500
2022-02-10,135.470001,136.559998,133.169998,133.520004,131.919739,5978600
2022-02-11,133.899994,134.710007,132.380005,132.690002,131.099686,4176200
2022-02-14,132.589996,132.649994,129.070007,130.149994,128.590118,5345300
2022-02-15,130.639999,131.679993,129.610001,129.940002,128.382645,4394000
2022-02-16,129.449997,130.440002,128.259995,129.179993,127.631744,4875600
2022-02-17,128.050003,128.500000,124.849998,124.970001,123.472214,6797000
2022-02-18,124.940002,125.440002,123.610001,124.349998,122.859642,4609200
2022-02-22,124.199997,125.000000,122.680000,123.919998,122.434792,5349700
2022-02-23,124.379997,124.699997,121.870003,122.070000,120.606972,4086400
2022-02-24,120.000000,122.099998,118.809998,121.970001,120.508171,6563200
2022-02-25,122.050003,124.260002,121.449997,124.180000,122.691681,4460900
2022-02-28,122.209999,123.389999,121.040001,122.510002,121.041695,6757300
2022-03-01,122.669998,123.389999,120.699997,121.349998,119.895599,4873300
2022-03-02,122.589996,124.639999,121.800003,123.860001,122.375519,4891400
2022-03-03,124.959999,126.669998,124.239998,125.930000,124.420708,5206600
2022-03-04,124.400002,127.349998,124.209999,126.620003,125.102440,4402400
2022-03-07,126.470001,127.910004,125.620003,126.070000,124.559029,5047400
2022-03-08,126.620003,128.350006,124.820000,125.680000,124.173706,4887600
2022-03-09,127.410004,128.100006,125.910004,126.220001,124.707230,4403500
2022-03-10,125.750000,126.029999,123.129997,124.349998,122.859642,5326800
2022-03-11,125.000000,126.769997,123.910004,123.959999,122.474319,4119600
2022-03-14,124.449997,125.160004,122.690002,123.940002,122.454559,3289200
2022-03-15,124.000000,125.940002,123.220001,125.639999,124.134178,4021200
2022-03-16,126.500000,127.279999,124.709999,127.040001,125.517403,4292800
2022-03-17,127.099998,128.289993,126.529999,127.959999,126.426376,3671900
2022-03-18,127.379997,128.929993,126.370003,128.759995,127.216782,7466000
2022-03-21,129.000000,129.740005,127.400002,128.100006,126.564705,3384600
2022-03-22,128.500000,129.300003,127.849998,129.059998,127.513191,2690200
2022-03-23,129.080002,129.320007,128.250000,128.300003,126.762306,2924500
2022-03-24,128.330002,129.369995,127.800003,129.250000,127.700912,2971100
2022-03-25,129.500000,131.399994,129.309998,131.350006,129.775757,3530200
2022-03-28,130.820007,131.500000,129.600006,131.470001,129.894302,2483500
2022-03-29,132.039993,132.839996,130.429993,131.940002,130.358673,5791000
2022-03-30,132.009995,133.080002,131.389999,132.130005,130.546402,2622900
2022-03-31,130.720001,131.880005,130.000000,130.020004,128.461685,4274000
2022-04-01,129.660004,130.270004,128.059998,130.149994,128.590118,4012400
2022-04-04,130.259995,130.449997,128.929993,130.270004,128.708694,2809800
2022-04-05,129.850006,131.229996,128.660004,128.889999,127.345230,3107200
2022-04-06,127.779999,129.509995,127.250000,129.389999,127.839233,3958100
2022-04-07,128.869995,129.250000,126.730003,128.550003,127.009308,3538300
2022-04-08,128.009995,128.779999,127.269997,127.730003,126.199135,3143300
2022-04-11,127.949997,128.179993,126.180000,126.370003,124.855438,3202500
2022-04-12,126.419998,127.339996,125.580002,125.980003,124.470108,2691000
2022-04-13,125.639999,126.669998,124.910004,126.139999,124.628189,3064900
2022-04-14,128.929993,130.580002,126.379997,126.559998,125.043152,6384200
2022-04-18,126.599998,127.389999,125.529999,126.169998,124.657829,4884200
2022-04-19,126.080002,129.399994,126.000000,129.149994,127.602104,7971400
2022-04-20,135.000000,139.559998,133.380005,138.320007,136.662216,17859200
2022-04-21,138.229996,141.880005,137.350006,139.850006,138.173874,9922300
2022-04-22,139.699997,140.440002,137.350006,138.250000,136.593048,6508600
2022-04-25,137.589996,139.649994,135.190002,139.100006,137.432861,5748300
2022-04-26,139.000000,139.869995,136.169998,136.190002,134.557739,4956200
2022-04-27,135.779999,137.119995,134.630005,135.059998,133.441284,4369100
2022-04-28,136.850006,136.990005,134.809998,135.740005,134.113144,4474300
2022-04-29,135.130005,135.550003,132.000000,132.210007,130.625443,5078700
2022-05-02,133.000000,133.770004,130.889999,133.039993,131.445480,4213500
2022-05-03,133.000000,133.600006,131.990005,132.520004,130.931732,3688600
2022-05-04,132.869995,137.869995,132.139999,137.399994,135.753235,5932600
2022-05-05,136.460007,137.259995,134.759995,135.919998,134.290970,5957400
2022-05-06,135.470001,137.990005,135.470001,137.669998,136.020004,7306400
2022-05-09,134.410004,136.350006,133.320007,134.440002,134.440002,7647900
2022-05-10,135.000000,135.410004,128.429993,129.130005,129.130005,8642400
2022-05-11,129.860001,132.960007,129.860001,130.750000,130.750000,5301100
2022-05-12,131.270004,133.619995,130.410004,132.899994,132.899994,5384800
2022-05-13,133.000000,133.800003,131.050003,133.600006,133.600006,4195100
2022-05-16,133.100006,136.509995,132.410004,135.029999,135.029999,4250400
2022-05-17,137.190002,138.369995,135.639999,138.369995,138.369995,4372900
2022-05-18,137.100006,137.619995,132.169998,132.940002,132.940002,6003000
2022-05-19,132.000000,132.320007,128.710007,129.660004,129.660004,5819700
2022-05-20,130.179993,130.369995,125.800003,128.479996,128.479996,6914500
2022-05-23,129.500000,131.949997,129.419998,131.169998,131.169998,3591500
2022-05-24,130.570007,134.369995,130.419998,133.800003,133.800003,4189700
2022-05-25,132.860001,134.820007,132.860001,134.389999,134.389999,3299300
2022-05-26,135.000000,137.550003,134.520004,136.889999,136.889999,3929300
2022-05-27,137.389999,139.740005,137.240005,139.270004,139.270004,4608000
2022-05-31,138.199997,139.830002,136.809998,138.839996,138.839996,7978100
2022-06-01,139.669998,140.470001,138.520004,139.429993,139.429993,3796500
2022-06-02,139.449997,140.289993,136.850006,140.149994,140.149994,3734800
2022-06-03,140.259995,142.580002,139.740005,141.179993,141.179993,4345300
2022-06-06,142.979996,144.729996,142.000000,142.880005,142.880005,4766900
2022-06-07,142.600006,142.979996,140.960007,142.779999,142.779999,2887100
2022-06-08,142.070007,142.800003,140.149994,140.830002,140.830002,3005700
2022-06-09,140.149994,141.039993,137.929993,137.960007,137.960007,3591000
2022-06-10,137.800003,137.800003,135.250000,136.190002,136.190002,4659500
2022-06-13,133.970001,137.570007,133.759995,135.110001,135.110001,6486000
2022-06-14,135.000000,136.949997,134.860001,135.720001,135.720001,4607800
2022-06-15,136.009995,138.449997,135.580002,137.059998,137.059998,4606900
2022-06-16,135.300003,136.240005,134.389999,135.669998,135.669998,5386400
2022-06-17,135.990005,136.979996,132.850006,135.020004,135.020004,12967300
